Task-Name,BC,10%BC,TD3+BC,AWAC,CQL,IQL,ReBRAC,SAC-N,EDAC,DT,E2ERL(β=0.001),E2ERL(β=0.0025),E2ERL(β=0.005),E2ERL(β=0.0075),E2ERL(β=0.01),E2ERL(β=0.05),E2ERL(β=0.1),E2ERL(β=0.5)
antmaze-medium-play-v2,0.00 ± 0.00,2.00 ± 0.71,0.25 ± 0.43,0.00 ± 0.00,65.75 ± 11.61,65.75 ± 11.71,89.50 ± 3.35,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,81.00 ± 2.94,88.25 ± 3.40,84.50 ± 7.19,N/A,83.50 ± 8.06,N/A,93.33 ± 5.77,0.00 ± 0.00
antmaze-medium-diverse-v2,0.75 ± 0.83,5.75 ± 9.39,0.25 ± 0.43,0.00 ± 0.00,67.25 ± 3.56,73.75 ± 5.45,83.50 ± 8.20,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,85.50 ± 2.38,80.25 ± 8.54,85.75 ± 1.50,N/A,81.75 ± 6.55,N/A,76.67 ± 5.77,0.00 ± 0.00
antmaze-large-play-v2,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,20.75 ± 7.26,42.00 ± 4.53,52.25 ± 29.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,71.00 ± 6.27,74.00 ± 8.16,66.00 ± 4.24,N/A,51.00 ± 32.85,N/A,50.00 ± 10.00,0.00 ± 0.00
antmaze-large-diverse-v2,0.00 ± 0.00,0.75 ± 0.83,0.00 ± 0.00,0.00 ± 0.00,20.50 ± 13.24,30.25 ± 3.63,64.00 ± 5.43,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,74.00 ± 4.97,64.25 ± 13.00,67.25 ± 10.37,N/A,51.75 ± 32.18,N/A,33.33 ± 28.87,N/A
[AntMaze average],17.21,19.71,19.33,19.29,50.71,57.17,78.42,0.00,0.00,18.12,83.04,82.62,81.79,N/A,74.21,N/A,66.67,19.33
,,,,,,,,,,,,,,,,,,
pen-human-v1,71.03 ± 6.26,26.99 ± 9.60,-3.88 ± 0.21,81.12 ± 13.47,13.71 ± 16.98,78.49 ± 8.21,103.16 ± 8.49,6.86 ± 5.93,5.07 ± 6.16,67.68 ± 5.48,105.20 ± 8.75,95.77 ± 9.37,82.07 ± 24.32,96.17 ± 17.79,107.87 ± 16.65,113.22 ± 5.62,106.49 ± 18.55,N/A
pen-cloned-v1,51.92 ± 15.15,46.67 ± 14.25,5.13 ± 5.28,89.56 ± 15.57,1.04 ± 6.62,83.42 ± 8.19,102.79 ± 7.84,31.35 ± 2.14,12.02 ± 1.75,64.43 ± 1.43,97.84 ± 0.57,89.80 ± 18.39,103.53 ± 23.50,97.38 ± 8.02,100.10 ± 14.90,100.98 ± 9.08,114.78 ± 15.60,N/A
pen-expert-v1,109.65 ± 7.28,114.96 ± 2.96,122.53 ± 21.27,160.37 ± 1.21,-1.41 ± 2.34,128.05 ± 9.21,152.16 ± 6.33,87.11 ± 48.95,-1.55 ± 0.81,116.38 ± 1.27,151.06 ± 10.72,152.79 ± 5.03,146.06 ± 11.50,146.90 ± 12.14,153.75 ± 6.40,149.32 ± 5.79,149.95 ± 4.23,N/A
door-human-v1,2.34 ± 4.00,-0.13 ± 0.07,-0.33 ± 0.01,4.60 ± 1.90,5.53 ± 1.31,3.26 ± 1.83,-0.10 ± 0.01,-0.38 ± 0.00,-0.12 ± 0.13,4.44 ± 0.87,-0.12 ± 0.11,-0.08 ± 0.04,-0.10 ± 0.03,-0.11 ± 0.07,-0.08 ± 0.07,-0.04 ± 0.06,-0.10 ± 0.12,N/A
